
 13-11-2023 21:57:12 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:57:37 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:57:38 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:57:54 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:57:55 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:57:55 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:57:55 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:57:55 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:57:55 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:57:55 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:58:02 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:58:03 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:58:03 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:58:52 Metodo: GET, URL: /api/autores/2
 13-11-2023 21:59:35 Metodo: GET, URL: /api/autores/2
 13-11-2023 21:59:42 Metodo: GET, URL: /api/posts/2
 13-11-2023 21:59:59 Metodo: GET, URL: /api/posts/4545
 13-11-2023 22:00:54 Metodo: GET, URL: /api/posts/4545
 13-11-2023 22:01:35 Metodo: GET, URL: /api/posts/4545
 13-11-2023 22:01:36 Metodo: GET, URL: /api/posts/4545
 13-11-2023 22:02:18 Metodo: GET, URL: /api/posts
 13-11-2023 22:02:22 Metodo: GET, URL: /api/posts/2
 13-11-2023 22:02:23 Metodo: GET, URL: /api/posts/2
 13-11-2023 22:02:23 Metodo: GET, URL: /api/posts/2
 13-11-2023 22:02:46 Metodo: GET, URL: /api/posts
